QID,Brand,Model,Question,Dialogue
Q298,上汽通用别克,君越,方向助力泵响，皮带新的，更换了原厂助力泵方向打到底还是叽叽响，助力泵卡死，皮带打滑，皮带紧度是正常的，请问还有什么原因导致的？,技师说：你好，这个需要检查一下发电机皮带。发电机皮带是和助力泵连接的。如果发电机皮带松动或者是老化的话。在方向打死的情况下，也会有唧唧的响声，建议您重新检查一下发电机皮带。并且进行调节。希望我的回答可以帮到您。|车主说：是水泵连接助力泵的，助力泵皮带打滑眼睛可以看得到的，助力泵有时直接不动了|技师说：老款索纳塔吧|技师说：紧一下发电机皮带，您试试|技师说：你好，您调节发电机皮带了吗？助力泵皮带和水泵连接，发电机皮带也和水泵连接，发电机皮带松动，水泵自然也就打滑，带动助力泵打滑，所以发电机皮带松动会影响，这样说您理解吗
Q299,斯柯达,明锐,大众斯柯达，车辆怠速异响，唧唧叫声音很强，一加油门就消失，扒开油尺声音也消失，我怀疑是废气阀出问题了，大师们还有更的办法么？,技师说：你好，你这个确实是曲轴通风废气阀出现了问题|技师说：更换了就好了|技师说：这个是没有其他办法的|技师说：希望我的解答对你有所帮助|技师说：您可以点击我的头像关注后续有什么不明白的地方也可以随时联系我|技师说：收到信息后我会第一时间回复你
Q300,斯柯达,明锐,下雨天刹车片会有异响哦 这几天 挂了几次s档后 明显感觉发动机叫声比以前大了  这次这个感叹号弹出来了 很闹心 求解决,技师说：胎压报警灯亮了，检测一下轮胎气压是否在正常使用范围内！|技师说：问题1:刹车片有点异响声：检查一下刹车片厚度，做一下四轮保养就可以了！|车主说：我该怎么检测呢|车主说：哇塞 老师你好厉害|技师说：去轮胎店（洗车店）维修店都可以！|车主说：大概需要用到多少钱|技师说：用那个气压表就可以检测出来轮胎气压！|技师说：如果单纯少气：添加就可以了，不要钱！四轮保养：80-100元，四个轮子（不包括刹车片如果更换）|车主说：好哒谢谢啦 大师|技师说：问题3:机油、汽油如果不好，发动机声音比较大；还有夏天开空调，声音略微大一点！|技师说：不用客气，祝您用车愉快！！|车主说：好的 大师 你觉得明锐这款车 在平路用s挡跑 有什么不妥之处吗|技师说：S挡为汽车运动模式，变速箱可以自由切换，但是换挡时机会延迟，使发动机在高转速上保持时间较长，|技师说：汽车在行驶过程中，直接把挡挂在S，通常用于爬坡或者超车用！|技师说：简单理解为：发动机在较长时间内低档高转速行驶，从而能获得较大加速度！|车主说：长时间使用 会不会影响 发动机寿命 以及过度 吃油的状况呢|技师说：长时间不好，容易产生积碳！|技师说：油耗增加！
Q301,上汽通用五菱,五菱之光,五菱荣光  暖风电机不会转   保险没有烧电机新的,技师说：您好    鼓风机不会转吗？？|车主说：嗯|技师说：热风   冷风都不工作？|技师说：单独供电会工作吗？|车主说：现在是擦头拔了凉着正极一点|车主说：擦上就没有电了|车主说：那个地方坏了|技师说：可以考虑看看鼓风机电阻|车主说：电阻是什么在什么地方|技师说：跟着鼓风机插头找  就可以找到？|技师说：它是控制风机的|车主说：好谢谢|技师说：不客气|技师说：谢谢
Q302,别克,凯越,车子防冻液漏光了跑了几公里到修理厂修好了，现在又跑了200公里发动机没发生故障感觉跟原来没什么区别是不是发动机没受到损伤？,技师说：你好现在是没什么损伤 但以后千万水温高了不要开 要不然要冲掉的|车主说：好的|技师说：en|车主说：请教一下是不是发动机坏了立马就不能跑了|技师说：对的 那就要大修了|技师说：只要是水温看它高了就马上熄火|车主说：能正常跑说明发动机还算幸运|技师说：对啊 你的真算运气了|车主说：谢谢|技师说：没事|车主说：大师您好，观察了3天水温行驶正常，水位正常，机油正常，早上第一次点火正常，尾气管排出的是无色无味的气体，是不是能排除发动机受损了？
Q303,大众,朗逸,新朗逸玻璃刮起来模糊,技师说：换个雨刮片就好了
Q304,一汽-大众,迈腾,10款科鲁兹。水温到了一半水会溢出。更换了节温器。上水管座,技师说：可能缸垫冲了|车主说：原来好好的。只是换了防冻液|技师说：那就是空气没排好
Q305,吉利汽车,经典帝豪,请问吉利经典帝豪手自一体变速箱上那个黑色按钮是什么？,技师说：你好车主，这个是挡位电磁阀不起作用的时候，这个按钮可以应急挂挡的，
Q306,长安汽车,长安之星,你好，我想请教一下我的长安之星6363，跑起来老向右跑偏，跑起来后感觉向左打方向比向右打重，左打回正也比右打回正快，怎么回事，这是定位问题还是方向机有问题了？,技师说：你好这是前速问题，建议做个四轮定位
Q307,比亚迪,比亚迪F3,这个脚好像断了。会不会有影响到发动机啊？,技师说：车主您好，在么？ 发动机鸡脚胶套坏了，怠速，发动机会抖动的|车主说：用不用去修理一下呢？|技师说：需要的，要去更换一个鸡脚，修理厂120左右|车主说：120块钱不行吧？突然加油会不会抖的厉害|技师说：鸡脚120，工钱80|技师说：会抖动|车主说：哦！可以直接焊接吗？|技师说：焊接不了的|技师说：里面是有胶套的|车主说：哦！这样啊！|技师说：是的，请问还有没有能帮到您的？|车主说：没有了！|技师说：不客气，希望我的能帮您解决问题，并满意，谢谢！！！ 如有疑问请继续追问 祝您用车愉快
Q308,现代,悦动,你好，我问一下为什么仪表盘有一个灯一直亮,技师说：上面四个灯具体指哪个灯？？|车主说：最右面|技师说：那个是发动机系统故障提示灯，启动后常亮表示故障，。故障原因比较多，需要读取故障代码才能确定故障点，先找个修理厂读取下故障代码吧，更具故障代码提示确定故障点维修
Q309,上汽通用雪佛兰,科鲁兹,2013款科鲁兹 仪表盘出现code84,技师说：你好，84代表发动机动力下降，需要检测发动机模块有无故障码，比如P0300发动机缺火之类的故障码，根据故障码检测问题。 根据我的经验可能是1.点火线圈有问题，表面有无裂纹。2.火花塞是否击穿，3.节气门喷油嘴的积碳是否过多。4.检查所加汽油是否质量太差，最明显的就是火花塞电极和氧传感器发白。 希望我的解答对您有所帮助
Q310,宝马,宝马3系,05年的东风本田CRV  2.0的排量   正常缸压有几个？   气门间隙多少？,技师说：你好，正常缸压930kpa，进气门间隙0.21至0.25mm，排气门间隙0.28至0.32mm.谢谢|技师说：[图片]|技师说：[图片]|车主说：你好  你这个资料哪里买哒？|技师说：你好，我在东本工作，肯定有资料了，
Q311,宝马,宝马3系,您好，我看上一辆08款宝马325，跑了10公里，请问这样的公里数正常吗？325有什么通病，选购的时候有什么需要注意的地方吗？谢谢,技师说：你好！这个一般是不正常的，这个车必定这么久了，你是买的二手车吗？主要问题就是有漏油现象，其它到还好。选购的时候最好去4S店用车架号查询一下全国记录，是否有维修记录。还有就是是否出现过事故或者水淹车这些。|车主说：是跑了10万公里|技师说：你是4S店看的吗？|技师说：我的意思是4S店看的新车，还是二手车市场看到的车。|车主说：二手车市场|技师说：这个有上户过没有、很可能是调过表的。建议你仔细检查一下。
Q312,英菲尼迪(进口),英菲尼迪G系,G37  11年买的车， 现在发动时候有啦啦啦的声音。开车过程中2000转左右 也会有这样的 类似齿轮摩擦的啦啦啦啦声音。 ,技师说：你好，这种情况需要具体听一下是哪个位置发出来的？|技师说：如果是发动机的前端，那就是正时链条的声音。|技师说：这很有可能是链条拉长导致的。不过要确定这种问题是需要具体听到才好判断的。|车主说：感觉是座位 往前。  ssss去保养的时候  也检查过  说要拆了皮带 开一段试试   。 赶时间没拆就走了。现在好像更响了。如果是链条对车子有什么影响吗？|技师说：既然出现了响声，我建议你还是尽快的去维修要好一些的。如果时间拖得太长，有可能会造成其他损害的。|技师说：4s店说的这种方法是可行的。|车主说：好的 谢谢
Q313,大众,大众CC,车子没电了，换新电瓶后刹车灯常亮，变速箱不换挡只有一个挡在走,技师说：你好，这是需要用电脑做匹配的。|技师说：需要做很多匹配的。比如变速器的。蓄电池的。中央电器的。|车主说：431能匹配不|技师说：431不可以的，这是要用路虎的专用电脑才行的。|技师说：在专用电脑的功能频道里面，一步一步地做这项工作。|车主说：哦，那这车我们这修不了|技师说：是的|车主说：我们这门面不大，老板同学朋友开好车的多，经常遇到这种没法修的|技师说：确实现在车型太多。很多都是需要专用解码器来操作的。|车主说：明天让他去4s了|技师说：希望我的解答能给你带来帮助！！！如有不明白请点击～头像～关注我，有问题可以随时图文咨询的，我会一对一向你解答的。
Q314,福特,嘉年华两厢,油表不准，油泵更换过。油表上不了顶。求解？,技师说：你好。更换油泵前有没有这问题呢。|车主说：你好。更换之前油表是不会走的|技师说：那就需要检查下仪表盘了。。油浮子也都换了吧。。换了和之前问题一样吗？|车主说：换之前油表不会走换之后油表不准到不了顶|技师说：那应该是油浮子安装不当引起的。重新拆下来安装试试。|车主说：我把油泵放在外面放到最高点 油表还是到不了顶|技师说：重新换个油浮子试试。。如果还是这样那就是仪表盘有问题。|车主说：有换过，可不可以直接测仪表|技师说：可以。。这个就需要找专业的了。。一般专业调表的或者专修电脑版的可以检测。|车主说：好的。谢谢|技师说：不客气？有问题在问我。希望能帮到你。|车主说：好的谢谢
Q315,起亚,K3,我的车自然吸气K3 1.6 2013上牌现在公里数53000要不要清理进气和三元催化。,技师说：你好建议六万公里大保养时清洗机碳
Q316,一汽-大众,速腾,你好，我06款速腾烧机油，原来一直加的全合成机油，今天我加的半合成机油15w-40的机油，有什么问题没有？？还有就是今天加了一点，跑了一圈，踩油门的时候有个翁翁翁的声音很小，不知道是不是不该加这个机油，求大师讲解,技师说：油不行，太粘稠了，带T不|车主说：不带|车主说：原来一直用的全合成的，今天加了可能一升左右踩油门就翁翁翁的响了|技师说：你这油不行|技师说：太粘稠了|车主说：要用什么型号的机油为好？|技师说：5W40|技师说：或者10W40|车主说：哦，那我今天加了一点，没什么关系吧？|技师说：没事，尽量用同型号的油|技师说：别混搭，会有影响|车主说：意思是我要把机会全部换成10-40或者5-40的？|技师说：车子几年了|车主说：11年了|技师说：用10W40吧，这个便宜，|技师说：我们做的壳牌，你可以用黄壳|车主说：我今天买的15-40的，，，160|车主说：哦，我今天买了一瓶杂牌的，加了一点|技师说：贵了|车主说：10-40的大概多少钱|技师说：你去淘宝参考下价值|技师说：120|车主说：哦|技师说：黄壳|技师说：X5
Q317,奔腾,奔腾B70,我车是10款奔腾b70手动2.0/只有一把钥匙了，想着要多配一把钥匙，可是现在弄的连原来的这把钥匙也用不了了，插上钥匙启动车没有反应，仪表显示一个车里有个钥匙一直再闪，接了个仪器国匹2，插上老是显示连接失败，请问我的车现在是防盗控制器锁死了吗？我应该怎么处理，车现在动不了，离配钥匙的地方还很远，我只拿防盗控制器能解锁重新匹配钥匙吗？哪位大神能帮帮我万分感谢（我现在没有原车密码）,技师说：你好匹配钥匙没有密码不行的|车主说：不是说用解锁的仪器可以无密码进入吗？|技师说：不能听他们讲|车主说：那就是说现在这个车就是弄不好了吗？有没有别的办法，我现在在乡村，没在县里|技师说：把电瓶线拆掉重新来|车主说：现在是用国匹2，连上线到进入防盗系统的时候就提示连接失败|技师说：仪器连不上就没戏了|车主说：能连上，就是在目录里进到我的车型在进系统的时候就提示连接失败|技师说：发图片看看|车主说：等一下|技师说：每一步一步操作的图片|车主说：[图片]|车主说：[图片]|车主说：[图片]|车主说：[图片]|车主说：[图片]|车主说：[图片]|车主说：[图片]|车主说：到这里就不行了|技师说：钥匙打开了吗？|车主说：打开到on|技师说：系统2也不行？|车主说：嗯，也不行，提示都一样|技师说：仪器的选项全部进一遍，不行就是设备问题，或者模块不通讯|车主说：你指的车型的选项？|技师说：进去试下吧|车主说：我进马六的系统没事吧，不会影响元器件吧|技师说：没事|车主说：马六的系统也进了，还进了几个别的车型，都显示链接失败|技师说：换个设备试下吧|技师说：实在不行就只有拆防盗盒写启动了|车主说：写启动的话大概多少钱，是不是写完就能解决这个问题？|技师说：是的|车主说：写启动大概要多少钱|技师说：200|车主说：好的，谢谢了，万分感谢|技师说：不要客气
Q318,东风本田,本田CR-V,才换的轮胎仪表盘提示：请检查轮胎气压,技师说：方向盘那里可以复位|车主说：怎么复位呢|技师说：方向盘右手边按键里面调|车主说：谢谢|技师说：不客气
Q319,一汽-大众,速腾,大众速腾1.6自吸 2014款的 发动机大修过 跑了2万公里 别的无任何毛病 想卖 大概多钱,技师说：自动手动|车主说：自动|技师说：买了多少钱|车主说：14.5|技师说：7万到8万|车主说：这么低|技师说：大修了，|技师说：没有大修能卖11万左右|车主说：谢谢啊 明白了|技师说：看看
Q320,马自达,马自达6,请问刚补了轮胎为什么仪表盘老是滴滴响，还一直闪,技师说：你好，胎压检测正常后，跑一段路，胎压灯会自动消除，就不再响了
Q321,陆风,风尚,你好师傅，我的车是那个，2008年1月份的陆风风尚。为什么，空转可以达到六千，一放离合器就走不了那么多高转速呢？，是什么原因呢？只能跑到100公里。是不是有什么限速的？,技师说：你好 你开去的时候有阻力啊|技师说：你如果挂2挡肯定可以上|车主说：也上不去|技师说：1档也上不去？|车主说：是的，|技师说：那可能它出厂设计就这样的|技师说：有些车也这样的 可以保护发动机|车主说：不可能呀！说明书上说最高时速是160码|技师说：有没有故障码|车主说：没有|技师说：那不好意思了 我帮不了你了 因为这个要检查一下了 你可以去4s店问问|车主说：我刚刚试过了，一档二档转速都能上去|技师说：哦哦 那就好了|车主说：那是什么情况啊！要怎么维修呢？|技师说：你好这个是正常的|技师说：不用修|技师说：你意思是4档5档上不去|车主说：总不可能只跑100码呀！太慢了|车主说：应该是|技师说：你跑100码的事候发动机几千转|技师说：应该是3000转左右|技师说：我说的是挂5挡|车主说：是的，|技师说：然后你把5档退回4档 这样转速就上去了 码力也上去了|车主说：我觉得动力还是可以的，就是哪个零件或者是什么东西坏了，不知道怎么维修|技师说：乳化剂|技师说：不好意思 刚才屏幕坏掉了 乱发的|技师说：那你现在没有坏啊|车主说：是要清洗什么还是要更换什么呢？|技师说：你多少公里了 在做保养的时候有没有洗过什么换过什么|车主说：现在是110000公里，我是买的二手车，在我手里换过一次机油|技师说：那你可以检查一下节气门脏不脏 火花塞好不好 喷油嘴啊 三元催化啊 进气啊 气油格 都脏不脏|车主说：哦，|技师说：这些都做的话价格在2000到3000左右|技师说：还有变速箱油|车主说：知道了，谢谢师傅
Q322,奥迪,奥迪Q7,车子怠速和倒车时抖 加点油又稳了 什么原因？,技师说：检查节气门开度，喷油嘴的喷油脉宽，和进气压力！
Q323,大众,朗行,你好  我想请问下 气缸检测不到发火属于什么问题   还有就是我的车子匀速行驶一段时间会发生顿促感  踩油门也没反应    松下油门在踩又好了,技师说：你好，你的车子多少公里了？检测故障是报的失火故障嘛|技师说：检查一下火花塞和点火线圈
Q324,一汽-大众,高尔夫,你好，我开的是高尔夫6.2011款 1.4t自动舒适型，2011.12月上牌，现在行驶12万公里，我是买的二手车，最近在加速过程中突然没有速度起来，加油门转数表也没有反应，但是正常行驶一两公里后又恢复了动力，请问是什么情况。,技师说：洗洗节气门看看|车主说：你好，会不会变速箱有问题？|技师说：不会|技师说：你的问题不像是，变速箱问题|技师说：像是断油，|技师说：汽油滤芯换换|车主说：好的，我试试看看，感谢。
Q325,奥迪,奥迪A8,奥迪A8左前车轮被撞掉 悬挂臂倾斜  要怎么修  修复后和原车有什么差别麻烦解释的清楚一些,技师说：你好！悬臂倾斜说明问题还是比较严重，这个底盘系统存在问题，维修方案是先更换明显有变形的配件，然后做四轮定位检测。如果门这些只有修复或者更换，需要看损坏程度。电吸门这些肯定能够恢复，最好是去4S店，质量有保证一些，有疑问可以追问我。|车主说：我这个车现在在修理厂没去4s店  走保险的话  是原装件么|技师说：这个，原装件一般4S店才有的，走保险建议你去4S店，这款车的技术含量还是比较高，定位数据这些4S店准确一些|车主说：假如在修理厂修完了  有什么隐患么|技师说：这个有可能存在一些小问题，比如说定位没有做好，跑方向，轮胎异常磨损。门吸功能偶发性不工作等|车主说：再去4s店重新做这些数据行么|技师说：这个可以没有问题，换上去的配件是没有办法更改的|车主说：就是如果说出现了您说的问题  还能解决呢|技师说：可以解决的，肯定没有问题，这个你放心|车主说：我这车才买三个多月  就算修好了  也恢复不了原车水平了啊|技师说：这个是肯定的|车主说：但是驾驶感觉  不会差太多吧|技师说：这个就看四轮检测结果|技师说：一般不会|车主说：如果说我不修的话  直接买连着保险一起买能买多少  买的时候花85|技师说：这个你就亏得比较多不划算的|车主说：大概20左右？|技师说：你多少公里了，这个大致也差不多|车主说：没多少吧  我天津宝坻的 车去了两趟天津两趟北京  公里数记不清了|技师说：嗯！建议你还是维修了用最划算
Q326,上汽通用别克,昂科拉,晚上开车门，启动车子，下来拿东西发现汽车左前轮后面一点顶部位置一直 在滴水，手一摸都是水，过怀就没了。天气挺好的，没下雨，没洗过车，顶多雨刮器喷过水，而且是早上喷的。车子有问题吗？,技师说：你好，这种现象的话，建议可以将我们发动机舱盖进行打开检查，里面的防冻液以及玻璃水有没有缺失？如果正常的话，那么就没有问题不必担心。这个很有可能是我们玻璃喷水的时候残留的那个东西在里面，由于路面不平种种原因然后流出来啦，只需要进行水检查一下没问题的话，放心大胆的用，你也可以再继续的观察看看。
Q327,宝马(进口),宝马3系(进口),哪位大师知道马6正时怎么对,技师说：你好，我把马自达6的正时图片发送给你。你自己查看，图片是对凸轮轴的。曲轴对一缸压缩上止点。曲轴盘对那个空。需要借助专用工具来对正时，未使用专用工具可能对不准。|技师说：[图片]|车主说：排气凸轮轴有一个螺丝固定位是吗？|技师说：没有呀。你只需要把进气和排气凸轮的凹口对平成一条水平的线就可以了。|车主说：现在都对了.就是没怠速|技师说：正时没有问题了那我就不回答您正时的问题了。|技师说：你是哪一年的马自达6|车主说：05年的|技师说：节气门是拉线的吧？|车主说：不是电子的|车主说：是电子的|技师说：能拍照看一下吗？|车主说：我确定|技师说：有故障代码吗？|车主说：没有|技师说：节气门插头那个红色的锁销有没有弄坏掉？|车主说：红色的锁销？|技师说：节气门插头，是双重卡子的，拆那个插头容易把那个插头的红色锁销弄坏，导致怠速不稳。或没有怠速。|车主说：是好的|技师说：[图片]|车主说：我知道.节气门插头|技师说：圈住的的那个插头。那个插头两重锁的，先拔红色销，然后按压卡扣才能拔节气门插头的|技师说：节气门有调换吗？|技师说：我遇到的这样的故障想象。一个是节气门引起的。一个是发动机电脑的插头松动引起的。这两部件你排查一下。|车主说：没有|技师说：节气门锁销问题的也有。|车主说：节气门插头没插好开钥匙踩油门应该是不工作的|技师说：车能火吗？转速多少转？|车主说：就是没转速|车主说：能打着|技师说：转速表直接到底吗？|车主说：是的|技师说：换个节气门试试。|车主说：还有别的什么问题吗？|技师说：不会装进气歧管的时候，那个进气歧管那个曲轴强制通风口的管子都安装好了吧？|技师说：先换节气门试试再说。|车主说：在什么位置？|技师说：进气歧管下面和发动机缸体上的连接的管子。|车主说：没看到这个|技师说：这个看不到的。需要拆检查的。还是建议先换节气门阀体试了再检查这些。|车主说：好的.谢谢|技师说：不客气的。能解决问题就好。|车主说：明天如果有问题再请教你|技师说：可以的。|车主说：你好|技师说：还有什么问题吗？|车主说：换了还是不行|技师说：换了什么东西？|车主说：节气门|技师说：原厂的吗？|车主说：是的|技师说：现在你还在4S店吗？|车主说：加油门2千转稳定不了怠速.感觉缺缸|车主说：我没在4S店了|技师说：有怠速了，不会一下转速到底了。只是怠速在2000转比较高，是吗？
Q328,广汽本田,雅阁,雅阁9代2.4L 车重量是多少呀,技师说：你好，这个行车证副本上有整车质量，你打开行车证就可以看到
Q329,一汽-大众,宝来/宝来经典,06款宝来，换了缸头垫子后加速无力，发动机无异响，空挡急加油反应强烈，1，2档加速还可以，3档后第一脚油门反应迟钝，感觉原来的时候转速跟速度成正比，现在转速比以前高，速度不如以前了,技师说：你好，换完缸垫后，正时检查了没有？一般是正时错齿导致|车主说：正时皮带错齿就是我说的这种现象吗|技师说：是的，这个齿对的时候不好对，特别容易错齿，首先检查正时|车主说：我去找给我修车的，他说不如他的捷达提速快，我觉得我的原来不比捷达慢啊，发动机转速比以前高了，速度不行|技师说：是手动挡么？|车主说：是啊|技师说：首先检查正时是否错齿，没问题的话检查缸压|技师说：如果都没有问题。在发动机不抖动的状态下测试是否离合器打滑|车主说：感觉离合器跟原来不太一样了|车主说：可是他说没动离合器|技师说：那就先检查正时和缸压，再一个有真空管没有接的话也会导致怠速转速高|车主说：怠速倒是跟原来一样|车主说：原来3档上坡很轻松，现在都上不去了|技师说：恩，那就检查正时和缸压，没问题再检查汽油泵压力值|技师说：正时不对影响特别大|车主说：哦，我去找他，谢谢|技师说：不客气，有什么不懂可以随时咨询|车主说：能给我个电话吗|技师说：我的资料上有显示|车主说：好|技师说：?|车主说：正时皮带好调吗|车主说：自己动手行吗|技师说：这个自己是不可以的，这个有正时涨紧器，必须用工具压回去，重新调试|技师说：如果错齿太多会导致发动机内部损坏|技师说：必须让修车师傅来检查安装|车主说：好吧
Q330,大众,一汽-大众CC,请问：我的车子时速120的时候方向盘就发抖了，在4s店做了动平衡、轮毂动平衡、四轮定位都没解决问题。请大神们看看什么原因呀…,技师说：你好，轮胎动平衡和四轮定位都做了还是存在问题。那半轴问题可能性很大了，建议更换半轴处理
Q331,一汽-大众奥迪,奥迪Q5,请看图片。保险直接把没有协商的定损金额打到我银行卡。如果我不去4s店就只能给这么多。难道这就是对三年全车险没有没报过任何险的客户的回报？我迷茫了,技师说：车主你好，保险公司都有对相关车型定损的费用表格，如果是维修有附加的零配件或者是工时，保险公司是不会理赔的，你可以先去4s咨询一下维修费用，如果是费用和保险定损相差太多，可以要求保险公司现场重新定损理赔，希望我的回答可以帮到你，你可以关注我，以后有问题可以一对一咨询我，汽车大师竭诚为您服务！祝你驾驶愉快！|车主说：这个比较实际！非要亲自跑一趟4s？|技师说：需要去4s的
Q332,哈弗,哈弗H6,10年的手动挡科鲁兹，最近热车一档起步非常抖，放置一晚早上开会好一点，尤其开了一小时后在起步非常抖，非人为技术问题，除了这问题其它档位都正常，车子也非常有劲，开一百多码非常轻松。哪位大神帮帮忙什么原因啊？,技师说：你好，根据你所反馈的这种故障现象的话，那么建议你可以做如下实验。也就是我们在热车状态。挂入一档。手刹车松开，然后缓慢松离合器不要踩油门踏板。慢慢的松离合器观察车辆是否有抖动现象。如果有的话，那么需要更换我们的压盘离合器片来进行解决。而冷车没有这种问题的话，那么说明这个压盘出现了问题。说明这个压盘遇到温度之后，它的硬度变化了。导致我们在松离合器的时候，他压得不够均匀而产生的似结合似分离而出现的抖动现象，如果需要进行处理的话，那么只能够是更换压盘离合器片来进行解决。如果不更换的话，那么他还会出现这样的问题但是他却不影响我们其他的使用。这个东西出现这样的问题的话，是一种正常磨损的一个使用现象。建议，如果离合器现在没有处于打滑状态的话，那么建议可以继续的使用。
Q333,标致,标致307,请问标志307 08年的车曲轴位置传感器在哪,技师说：你好，多少排量的，1.6还是2.0的？|车主说：自动波的|车主说：应该是2.0|技师说：对的，1.6的你可以看到的就在变速箱和缸体位置的|车主说：那个波箱油要加几升啊|技师说：2.0的应该在进气管下面位置的，|技师说：3.5升左右|车主说：哦|车主说：好的 谢谢大师|技师说：放油螺丝里面有检测杆的螺丝的|技师说：放油要把变速箱螺丝拆卸掉，里面还有一个螺丝的|技师说：不客气的|车主说：好的 谢谢|车主说：我看到了 在发动机和波箱连接那里|技师说：你现在什么问题呢？|车主说：没呀 准备拆 放油|车主说：谢了 大师|技师说：晕，它放变速箱油，有放油螺丝的呀|技师说：变速箱下面有一个正方形的螺丝的|车主说：我说的是曲轴位置传感器再连接那里|车主说：谢了|技师说：哦哦，不客气的
Q334,福田,蒙派克E,前面两个胎啃外胎是什么原因？,技师说：你好，倾角有问题，建议你做一下定位
Q335,上汽通用别克,英朗,11年，别克英朗，1.8L自动时尚，最快起步时候车子振动，然后才走，好像脱档的感觉，要检查什么。倒车也会,技师说：你好，这种情况的话建议检查一下发动机以及变速箱安装的支架鸡脚，检查里面的胶套有没有开裂？如有的话需要进行更换。还有就是看看胶套有没有出现老化的现象。如果上面的正常的话，那么可以对它的安装支架的螺丝全部进行松开。然后挂入挡之后，前后一动一动，然后再均匀地进行螺丝紧固。这样的话，可以把发动机变速箱部分产生的较劲现象给排除。对于部分车辆共振较大的车辆，可以有效的进行改善和排除。建议先按照上方的步骤进行排查一下检查一下。一般情况下都是这样的问题导致。还有就是该款车型的话，它的变速箱的话容易出现故障，建议定期的更换变速箱油以及定期的检查油液是否缺失。以防止变速箱后期在使用过程中出现问题。
Q336,劳斯莱斯,魅影,导航显示屏不亮。   音乐放不了,技师说：能开机不|车主说：打着火了|车主说：导航显示屏不会亮|车主说：没反应|技师说：按开机按钮呢|技师说：有反应没|车主说：开机按钮在哪里|车主说：我就直接点火。  以前只要一接通电源就亮得|技师说：拍个图片给我看看|车主说：就是黑屏|车主说：[图片]|技师说：点住音量键按钮|技师说：按几秒|车主说：没反应|车主说：倒车影视也没|技师说：177****4612|技师说：我电话。|车主说：多少|车主说：电话|技师说：177****4612。|车主说：中间几个看不见|车主说：分次发送吧|技师说：177。|技师说：5613。|技师说：4612。|车主说：在吗|车主说：我昨晚好像按了关屏键|技师说：你好|技师说：车子好了没
Q337,一汽-大众,迈腾,买的二手车。 2013款2.0至尊。买的时候只有一把钥匙.1假如原车主的另一把原装钥匙还在，除了换锁，有没有办法让他的钥匙不能用了？如果有怎么实现？2 我想再多配一把钥匙大概多少钱？,技师说：你好，这种情况，直接用仪器，把以前的钥匙数据都清了，然后把你的钥匙重新匹配就可以，不用换锁，
Q338,上汽通用别克,英朗,您好，我的车子是别克英朗2013年买的，自动档1.6排量。36000公里，基本在市区跑，近期发现车子钥匙有几次拔不出来，要重新通电再熄火才可以拔出。请问是什么问题？不知道这个是否可以不去4S店就可以解决？谢谢 ,技师说：你好，根据你所反馈的问题的话，有可能是点火开关出现了问题。或者是我们要是没有关闭到位。同时还需要确认我们在熄火前我们挡位是处于驻车挡p挡。建议每次熄火的时候将车辆方向盘回正，然后试试不行的话那么去维修厂或者是4店做一下检查。不是什么大的问题的。|技师说：还有就是建议你关注一下是否仪表显示p挡的时候进行熄火然后有没有出现拔不掉钥匙的这种现象？|车主说：今天开到4s店说我排挡坏了，要价1300（打过折），没同意，打算找附近的店修，请问这个价格合适吗？上海有好一点维修店推荐吗？谢谢|技师说：你好，这个在4s店的话基本上是就是这个价格了。而当地的话如果没有什么熟悉的修理认识的师傅的话，那么建议最好还是选择4s店里面的产品，因为这个产品是有保障的，你在外面更换的话，如果更换到正品还好，如果更换到劣质的产品的话，那么你用的时间也会缩短。还有一种方法就是。不算什么特别规范的。就是什么都不需要更换。我们点火开关锁芯上面的那个开关。进行处理一下，直接不让他工作起着用。不过这种方法的话主要是针对于就是车辆即将要出售。没有必要进行维修的车辆。|技师说：不过这种做法的话不是规范的。也是不正确的做法。部分维修技师的话，他有的可能也不知道怎么操作的。
Q339,东风悦达起亚,福瑞迪,起亚福瑞迪，2010年的车，现在开起来平路感觉很颠簸，起步的时候感觉像是一摇一晃的！50-60速走在有些平路上坡车子轮子会跳动，到高速感觉不到！走沥青路也不会有这种感觉，但是过一些大坑和烂路的话就肉死了，很震很多响动，像是开拖拉机似的！过减速带也很大的震动，不知是不是底盘还是悬挂系统的问题！求解啊！！！！！,技师说：你好，检查一下减震器是否漏油，减震效果不好|车主说：前后所有减震我都换过新的了|技师说：检查一下底盘，检查机器胶墩。|车主说：不懂这个是什么呢|技师说：就是检查车底下的支臂呀拉杆球头，平衡杠拉杆呀，有没有问题。检查机器胶墩是否损坏。|车主说：好的，谢谢|技师说：别客气欢迎继续使用汽车大师。
Q340,上汽通用别克,英朗,新车老是刮刮碰碰?都有洞了 大师好修复吗 ,技师说：钣金，喷漆就可以了|技师说：不太好搞，需要把洞焊起来|车主说：那很难复原吧|技师说：也不是太难|技师说：4s店修应该是把这个边梁给换了的|车主说：让朋友倒车给刮了|车主说：报保险划算吗|技师说：你可以先到4s店去询问一下，他们是换，还是修复！如果要换就报保险，只是修复不需要报保险的|技师说：4s店修复加喷漆大概700左右|车主说：好的 那谢谢了|技师说：不用谢
